iter	Passed	Remaining
470	686	771
471	687	769
472	688	767
473	690	765
474	691	763
475	692	761
476	693	760
477	694	758
478	695	756
479	696	754
480	697	752
481	698	750
482	699	749
483	700	747
484	701	745
485	703	743
486	704	741
487	705	739
488	706	737
489	707	735
490	708	734
491	709	732
492	710	730
493	711	728
494	712	726
495	713	724
496	714	722
497	715	720
498	716	719
499	717	717
500	718	715
501	719	713
502	720	711
503	721	709
504	722	708
505	723	706
506	724	704
507	725	702
508	726	700
509	727	699
510	728	697
511	729	695
512	730	693
513	731	691
514	732	690
515	733	688
516	735	686
517	736	685
518	737	683
519	738	681
520	739	680
521	741	678
522	742	677
523	743	675
524	745	674
525	746	672
526	747	670
527	748	669
528	750	667
529	751	666
530	752	664
531	753	663
532	754	661
533	756	660
534	757	658
535	758	656
536	759	655
537	760	653
538	762	651
539	763	650
540	764	648
541	765	646
542	766	645
543	767	643
544	768	641
545	770	640
546	771	638
547	772	637
548	773	635
549	774	633
550	776	632
551	777	631
552	778	629
553	780	627
554	781	626
555	782	624
556	783	623
557	784	621
558	786	620
559	787	618
560	788	616
561	789	615
562	791	614
563	792	612
564	793	610
565	794	609
566	796	608
567	797	606
568	798	604
569	799	603
570	800	601
571	801	599
572	802	598
573	804	596
574	805	595
575	806	593
576	807	591
577	808	590
578	809	588
579	811	587
580	812	585
581	813	584
582	814	582
583	816	581
584	817	580
585	818	578
586	819	576
587	821	575
588	822	573
589	823	572
590	824	570
591	825	569
592	826	567
593	828	566
594	829	564
595	831	563
596	832	561
597	833	560
598	834	558
599	836	557
600	837	555
601	838	554
602	839	552
603	841	551
604	842	549
605	843	548
606	845	547
607	846	545
608	847	543
609	848	542
610	849	540
611	850	539
612	851	537
613	852	536
614	853	534
615	854	532
616	857	532
617	859	530
618	860	529
619	861	528
620	862	526
621	864	525
622	865	523
623	866	522
624	867	520
625	869	519
626	870	517
627	871	516
628	872	514
629	874	513
630	875	511
631	876	510
632	877	508
633	878	507
634	879	505
635	880	504
636	882	502
637	883	501
638	884	499
639	885	498
640	886	496
641	887	495
642	888	493
643	889	491
644	890	490
645	891	488
646	892	487
647	894	485
648	894	484
649	895	482
650	897	480
651	898	479
652	899	477
653	900	476
654	900	474
655	902	473
656	903	471
657	904	469
658	905	468
659	906	466
660	907	465
661	907	463
662	908	461
663	910	460
664	911	459
665	912	457
666	913	455
667	914	454
668	915	452
669	916	451
670	917	449
671	918	448
672	919	446
673	920	445
674	921	443
675	922	442
676	923	440
677	924	439
678	925	437
679	926	436
680	927	434
681	928	433
682	929	431
683	930	430
684	932	428
685	933	427
686	934	425
687	935	424
688	936	422
689	937	421
690	938	419
691	939	418
692	940	416
693	941	415
694	942	413
695	944	412
696	945	410
697	946	409
698	947	408
699	948	406
700	949	405
701	950	403
702	951	402
703	952	400
704	954	399
705	954	397
706	955	396
707	956	394
708	957	393
709	959	391
710	960	390
711	961	388
712	962	387
713	963	385
714	964	384
715	966	383
716	967	381
717	968	380
718	969	378
719	970	377
720	971	375
721	972	374
722	973	372
723	974	371
724	975	370
725	976	368
726	977	367
727	978	365
728	979	364
729	981	362
730	982	361
731	983	359
732	984	358
733	985	357
734	986	355
735	987	354
736	988	352
737	989	351
738	991	350
739	992	348
740	993	347
741	994	345
742	995	344
743	996	342
744	997	341
745	998	340
746	999	338
747	1001	337
748	1002	335
749	1003	334
750	1004	332
751	1005	331
752	1006	330
753	1007	328
754	1008	327
755	1009	325
756	1010	324
757	1012	323
758	1013	321
759	1014	320
760	1015	318
761	1016	317
762	1017	315
763	1018	314
764	1019	313
765	1020	311
766	1021	310
767	1022	308
768	1023	307
769	1024	306
770	1025	304
771	1026	303
772	1028	301
773	1029	300
774	1030	299
775	1031	297
776	1032	296
777	1033	295
778	1035	293
779	1036	292
780	1037	290
781	1038	289
782	1039	287
783	1040	286
784	1041	285
785	1042	283
786	1044	282
787	1045	281
788	1046	279
789	1048	278
790	1049	277
791	1050	275
792	1051	274
793	1052	273
794	1053	271
795	1054	270
796	1056	268
797	1057	267
798	1058	266
799	1059	264
800	1061	263
801	1062	262
802	1063	260
803	1064	259
804	1065	258
805	1066	256
806	1067	255
807	1068	253
808	1070	252
809	1071	251
810	1072	249
811	1073	248
812	1074	247
813	1075	245
814	1076	244
815	1077	243
816	1078	241
817	1079	240
818	1081	238
819	1082	237
820	1083	236
821	1084	234
822	1085	233
823	1086	232
824	1087	230
825	1088	229
826	1089	227
827	1091	226
828	1092	225
829	1093	223
830	1094	222
831	1095	221
832	1096	219
833	1097	218
834	1099	217
835	1100	215
836	1101	214
837	1102	213
838	1103	211
839	1104	210
840	1105	209
841	1106	207
842	1107	206
843	1108	204
844	1109	203
845	1110	202
846	1112	200
847	1113	199
848	1114	198
849	1115	196
850	1116	195
851	1117	194
852	1118	192
853	1119	191
854	1120	190
855	1121	188
856	1122	187
857	1123	186
858	1125	184
859	1126	183
860	1127	182
861	1128	180
862	1129	179
863	1130	177
864	1131	176
865	1132	175
866	1133	173
867	1134	172
868	1135	171
869	1136	169
870	1137	168
871	1138	167
872	1139	165
873	1140	164
874	1141	163
875	1142	161
876	1143	160
877	1144	159
878	1145	157
879	1146	156
880	1147	155
881	1148	153
882	1149	152
883	1150	150
884	1151	149
885	1152	148
886	1153	146
887	1154	145
888	1155	144
889	1156	142
890	1157	141
891	1158	140
892	1159	138
893	1160	137
894	1161	136
895	1162	134
896	1164	133
897	1165	132
898	1166	131
899	1167	129
900	1168	128
901	1169	127
902	1170	125
903	1171	124
904	1172	123
905	1173	121
906	1174	120
907	1175	119
908	1176	117
909	1178	116
910	1178	115
911	1179	113
912	1181	112
913	1182	111
914	1183	109
915	1184	108
916	1184	107
917	1185	105
918	1187	104
919	1188	103
920	1189	102
921	1190	100
922	1191	99
923	1192	98
924	1193	96
925	1194	95
926	1195	94
927	1196	92
928	1197	91
929	1198	90
930	1199	88
931	1201	87
932	1202	86
933	1203	85
934	1204	83
935	1205	82
936	1206	81
937	1207	79
938	1208	78
939	1209	77
940	1210	75
941	1211	74
942	1212	73
943	1213	71
944	1214	70
945	1215	69
946	1216	68
947	1217	66
948	1218	65
949	1219	64
950	1220	62
951	1221	61
952	1222	60
953	1224	59
954	1225	57
955	1226	56
956	1227	55
957	1228	53
958	1229	52
959	1230	51
960	1231	49
961	1232	48
962	1233	47
963	1234	46
964	1235	44
965	1236	43
966	1237	42
967	1238	40
968	1239	39
969	1240	38
970	1241	37
971	1242	35
972	1243	34
973	1244	33
974	1245	31
975	1246	30
976	1247	29
977	1248	28
978	1249	26
979	1250	25
980	1252	24
981	1252	22
982	1253	21
983	1255	20
984	1256	19
985	1257	17
986	1258	16
987	1259	15
988	1260	14
989	1261	12
990	1262	11
991	1263	10
992	1265	8
993	1266	7
994	1267	6
995	1268	5
996	1269	3
997	1271	2
998	1272	1
999	1273	0
